指令,频次
pushq,3332
movq,17654
subq,678
leaq,4202
movl,3316
xorl,1211
callq,5769
addq,1379
popq,3453
retq,783
testb,1246
je,2645
movaps,400
movabsq,171
cmpq,1303
jne,1444
testq,867
movb,876
testl,498
js,65
jmp,1907
movslq,100
xorps,124
cmpl,677
movzbl,354
cmpw,2
setne,311
cmpb,615
punpcklqdq,12
movdqa,23
cmoveq,156
movsd,42
jmpq,139
jns,44
decq,102
jb,144
jle,91
incq,252
jl,52
ucomisd,5
jbe,52
decl,85
shlq,95
shrq,314
addl,104
jae,119
incl,97
ja,144
cmovneq,323
andq,78
andl,105
jg,38
shrb,3
orq,81
shll,23
cmovel,8
cmovbl,3
notl,4
negl,7
imull,12
subl,276
orb,21
orl,30
notq,22
cmovnel,9
movsbl,161
jo,4
cltq,18
setg,2
setbe,3
andb,141
ud2,2
movzwl,29
lock,276
movdqu,23
nop,585
nopw,39
sete,63
nopl,24
sarq,145
movups,66
leal,96
movw,62
shrl,31
cmovbeq,5
cmovaq,13
divq,2
cmovaeq,5
negq,11
cmovbq,23
cmovnsq,1
cmovsq,7
addb,63
cltd,3
idivl,3
jno,1
.byte,222
jge,17
ljmpl,14
sti,7
cld,13
fdivr,3
std,11
lcalll,11
rep,5
imulq,91
cmovgq,1
setns,1
xorb,6
seta,32
xorq,6
cvtss2sd,3
btq,14
movsbq,60
cmovbel,1
mulq,23
sets,1
setb,41
setl,3
sarl,38
cmovgel,1
adcq,7
seto,1
lahf,1
sahf,1
xaddl,2
cmpxchgl,1
xaddq,7
pshufd,4
testw,12
cli,1
frndint,1
cmovael,2
cmovlq,1
paddq,1
adcb,1
xorpd,12
movapd,22
cvtsi2sdq,1
divsd,1
cmovnew,1
cmovgl,1
movswl,24
decb,30
shlb,2
incb,7
setae,1
subb,2
cmovgew,1
addw,1
cwtl,1
decw,1
pxor,3
por,6
psrlq,2
psllq,2
shrdq,2
shldq,4
setge,1
maxsd,2
subsd,6
addsd,2
mulsd,2
cvtsd2ss,2
